Manhattan,1,2,3,4,5,6,7,8,9,10
1,0.000000,15772.614900,20215.645980,9533.170849,5604.200489,3088.054318,1311.039157,471.265720,2369.412159,3349.657086
2,,0.000000,16003.499000,7219.196667,10221.031000,16105.347500,14909.169511,15434.460041,13950.575945,12776.883065
3,,,0.000000,10690.484333,14613.552000,17509.902750,18912.605411,19748.935693,17851.806836,16873.243674
4,,,,0.000000,3935.292667,8896.389208,8228.355075,9065.404333,7168.732964,6190.679312
5,,,,,0.000000,5893.070125,4696.975382,5221.252806,3737.707000,2564.170543
6,,,,,,0.000000,1781.822671,2619.811386,2162.802145,3337.746261
7,,,,,,,0.000000,840.722524,1068.939972,2137.788257
8,,,,,,,,0.000000,1901.208756,2883.734537
9,,,,,,,,,0.000000,1176.450426
10,,,,,,,,,,0.000000
